feature,coefficient
IL.1.R4,7.60144501742682
Siglec.6,5.845692124958425
Activin.A,3.9889538796937285
PLXB2,3.6222266685089015
GPNMB,1.3264514049918876
BID,0.7383159194209802
FABP,0.6254504404356778
GFRa.1,0.26342481141322255
Apo.E,0.052762387169713536
MRC2,-0.0
Galectin.2,0.0
GFAP,-0.0
IL.19,-0.0
IL.1b,0.0
I.TAC,0.0
MIP.1a,0.0
PARC,0.0
Myoglobin,0.0
ON,0.0
DC.SIGNR,-0.0
PTN,0.0
resistin,-0.0
Trypsin,0.0
vWF,0.0
FSH,0.0
DC.SIGN,-0.0
Flt3.ligand,-0.0
Ck.b.8.1,-0.0
ICOS,0.0
IL.1.sRI,0.0
IL.17.sR,-0.0
IL.18.Rb,0.0
IL.1Rrp2,-0.0
JAM.B,-0.0
JAM.C,-0.0
LSAMP,-0.0
MBL,0.0
NKp30,0.0
PD.L2,-0.0
PTP.1B,0.0
Siglec.9,0.0
TGF.b.R.III,0.0
TSLP,0.0
CTLA.4,0.0
a2.Antiplasmin,-0.0
bFGF,0.0
Calpastatin,-0.0
Fas.ligand..soluble,-0.0
NKG2D,0.0
Haptoglobin..Mixed.Type,-0.0
MK01,0.0
VEGF.C,-0.0
sCD4,0.0
IL.2.sRa,0.0
TNF.sR.II,-0.0
Siglec.3,-0.0
ADAMTS.5,-0.0
IDUA,-0.0
AMPM2,-0.0
amyloid.precursor.protein,0.0
ARSB,-0.0
ASAHL,-0.0
ATS1,-0.0
ATS13,-0.0
Carbonic.Anhydrase.IV,-0.0
CATC,-0.0
Cathepsin.A,0.0
Cathepsin.S,0.0
SMAC,0.0
Aurora.kinase.A,-0.0
IL.4.sR,-0.0
XEDAR,-0.0
WISP.1,-0.0
BAFF,-0.0
C9,-0.0
Cathepsin.B,-0.0
FGF.5,0.0
Galectin.3,-0.0
GDF.9,-0.0
IgM,0.0
IL.2,-0.0
IL.13,-0.0
IL.18.BPa,-0.0
LBP,-0.0
Coagulation.Factor.Xa,-0.0
PlGF,-0.0
TIG2,0.0
ULBP.1,-0.0
ULBP.2,0.0
Histone.H1.2,-0.0
