,C'=' 0.010,C'=' 0.044,C'=' 0.078,C'=' 0.112,C'=' 0.147,C'=' 0.181,C'=' 0.215,C'=' 0.249,C'=' 0.283,C'=' 0.317,C'=' 0.351,C'=' 0.386,C'=' 0.420,C'=' 0.454,C'=' 0.488,C'=' 0.522,C'=' 0.556,C'=' 0.590,C'=' 0.624,C'=' 0.659,C'=' 0.693,C'=' 0.727,C'=' 0.761,C'=' 0.795,C'=' 0.829,C'=' 0.863,C'=' 0.898,C'=' 0.932,C'=' 0.966,C'=' 1.000
Bcells_149Sm_CREB_GMCSF,0.0,0.0,0.0,0.0,0.011,0.041,0.075,0.107,0.128,0.136,0.142,0.147,0.151,0.154,0.158,0.163,0.164,0.168,0.172,0.174,0.175,0.175,0.176,0.183,0.185,0.187,0.191,0.194,0.197,0.197
Bcells_149Sm_CREB_IFNa,0.0,0.0,0.0,0.0,0.271,0.421,0.434,0.435,0.436,0.438,0.439,0.442,0.443,0.443,0.443,0.443,0.443,0.444,0.446,0.448,0.451,0.452,0.455,0.455,0.455,0.454,0.454,0.455,0.457,0.456
Bcells_149Sm_CREB_IL246,0.0,0.0,0.0,0.0,0.098,0.244,0.315,0.378,0.406,0.418,0.426,0.432,0.445,0.455,0.469,0.471,0.473,0.474,0.475,0.476,0.478,0.48,0.481,0.483,0.484,0.484,0.484,0.486,0.485,0.487
Bcells_149Sm_CREB_LPS,0.0,0.0,0.0,0.0,0.0,0.0,0.012,0.045,0.076,0.12,0.145,0.174,0.219,0.25,0.267,0.286,0.301,0.317,0.335,0.345,0.352,0.356,0.362,0.366,0.372,0.377,0.378,0.385,0.389,0.392
Bcells_149Sm_CREB_unstim,0.0,0.0,0.0,0.132,0.489,0.489,0.64,0.745,0.756,0.768,0.772,0.773,0.775,0.775,0.776,0.778,0.78,0.78,0.78,0.781,0.781,0.781,0.781,0.781,0.782,0.782,0.784,0.784,0.784,0.784
Bcells_150Nd_STAT5_GMCSF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bcells_150Nd_STAT5_IFNa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bcells_150Nd_STAT5_IL246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bcells_150Nd_STAT5_LPS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bcells_150Nd_STAT5_unstim,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bcells_153Eu_STAT1_GMCSF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bcells_153Eu_STAT1_IFNa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.003,0.004,0.004,0.005,0.006,0.006,0.009,0.009,0.01,0.01,0.01,0.01,0.009,0.009,0.011,0.012,0.012,0.013,0.013,0.012
Bcells_153Eu_STAT1_IL246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bcells_153Eu_STAT1_LPS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bcells_153Eu_STAT1_unstim,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bcells_154Sm_STAT3_GMCSF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bcells_154Sm_STAT3_IFNa,0.0,0.0,0.0,0.0,0.043,0.178,0.238,0.251,0.265,0.291,0.303,0.313,0.323,0.33,0.336,0.337,0.347,0.352,0.359,0.364,0.367,0.371,0.375,0.375,0.379,0.38,0.382,0.381,0.386,0.386
Bcells_154Sm_STAT3_IL246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bcells_154Sm_STAT3_LPS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bcells_154Sm_STAT3_unstim,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bcells_155Gd_S6_GMCSF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028,0.069,0.116,0.16,0.187,0.213,0.227,0.246,0.258,0.265,0.275,0.281,0.288,0.293,0.302,0.309,0.312,0.314,0.318,0.321,0.322,0.324
Bcells_155Gd_S6_IFNa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.006,0.011,0.018,0.028,0.036,0.045,0.054,0.061,0.065,0.067,0.068,0.074,0.08,0.083,0.086,0.087,0.089,0.092,0.094,0.099
