,Feature Name
Feature n°1,Bcells_Frequency
Feature n°2,CCR2nncMC_MAPKAPK2
Feature n°3,CCR2pcMC_Frequency
Feature n°4,CD4Tcm_Frequency
Feature n°5,CD4Tnaive_Frequency
Feature n°6,CD4Trm_S6
Feature n°7,CD4Trm_NFkB
Feature n°8,CD4Trm_STAT6
Feature n°9,CD61pCD41pPLT_CREB
Feature n°10,CD61pCD41pPLT_STAT3
Feature n°11,CD61pCD41pPLT_S6
Feature n°12,CD62LnAgedNeutrophils_p38
Feature n°13,CD62LnAgedNeutrophils_S6
Feature n°14,CD62LnAgedNeutrophils_IkB
Feature n°15,CD62LnAgedNeutrophils_Frequency
Feature n°16,CD62LpImmatureNeutrophils_Frequency
Feature n°17,intMC_S6
Feature n°18,intMC_Frequency
Feature n°19,pDC_STAT5
Feature n°20,pDC_MAPKAPK2
Feature n°21,Th1mem_STAT6
Feature n°22,Th1naive_NFkB
Feature n°23,Th1naive_ERK
Feature n°24,Tregmem_STAT5
Feature n°25,Tregnaive_STAT5
Feature n°26,Tregnaive_STAT6
