;Max Proba;;;
Th1mem_S6;0.827;;;STABL Max Proba > 0.5
Th1naive_CREB;0.762;;;0.5 > STABL Max Proba > 0.4
Th1naive_S6;0.723;;;EN Max Proba = 1. & STABL Max Proba < 0.4
CD62LnAgedNeutrophils_S6;0.711;;;
Bcells_S6;0.628;;;
CD62LpImmatureNeutrophils_S6;0.599;;;
CCR2nncMC_Frequency;0.561;;;
mDC_Frequency;0.558;;;
CCR2nncMC_MAPKAPK2;0.542;;;
mDC_S6;0.466;;;
CD62LpImmatureNeutrophils_Frequency;0.464;;;
CCR2nncMC_NFkB;0.461;;;
MDSC_S6;0.444;;;
CCR2pcMC_S6;0.436;;;
CCR2pcMC_Frequency;0.433;;;
intMC_S6;0.43;;;
CD61pCD41pPLT_CREB;0.426;;;
Th1naive_MAPKAPK2;0.419;;;
CD56dimCD16pNKcells_Frequency;0.415;;;
CD4Tnaive_Frequency;0.411;;;
gdTcells_Frequency;0.398;;;
CD61pCD41pPLT_STAT3;0.377;;;
CD56brightCD16nNKcells_Frequency;0.364;;;
MDSC_Frequency;0.322;;;
CCR2nncMC_S6;0.317;;;
pDC_IkB;0.317;;;
Th1naive_IkB;0.312;;;
pDC_S6;0.294;;;
Th1naive_STAT6;0.269;;;
CD61pCD41pPLT_S6;0.22;;;
Th1naive_STAT5;0.2;;;
Tregnaive_STAT6;0.198;;;
Th1naive_ERK;0.185;;;
Tregnaive_ERK;0.172;;;
CD4Trm_MAPKAPK2;0.169;;;
CD61pCD41pPLT_IkB;0.156;;;
CCR2nncMC_CREB;0.142;;;
CD4Trm_STAT6;0.141;;;
mDC_STAT3;0.123;;;
CD62LpImmatureNeutrophils_IkB;0.116;;;
CD8Tnaive_STAT5;0.116;;;
gdTcells_MAPKAPK2;0.112;;;
CD62LnAgedNeutrophils_CREB;0.111;;;
CD4Tem_Frequency;0.108;;;
Tregnaive_p38;0.107;;;
CD4Trm_NFkB;0.106;;;
intMC_Frequency;0.106;;;
CD4Trm_Frequency;0.087;;;
Bcells_Frequency;0.085;;;
NKT_Frequency;0.084;;;
CD8Tnaive_Frequency;0.082;;;
CD4Tem_STAT5;0.081;;;
CD62LnAgedNeutrophils_Frequency;0.075;;;
CD8Tnaive_CREB;0.074;;;
MDSC_STAT3;0.073;;;
CD8Tnaive_STAT3;0.072;;;
Th1mem_IkB;0.07;;;
Th1mem_CREB;0.07;;;
CD4Tnaive_STAT5;0.066;;;
CD4Trm_STAT5;0.065;;;
CD4Tcm_Frequency;0.063;;;
CD41hiCD61hiPLT_p38;0.061;;;
CD56brightCD16nNKcells_MAPKAPK2;0.06;;;
intMC_STAT3;0.059;;;
NKT_STAT6;0.058;;;
Th1naive_NFkB;0.055;;;
CD8Tem_Frequency;0.055;;;
CD62LpImmatureNeutrophils_CREB;0.052;;;
CD4Tcm_STAT5;0.051;;;
CCR2pcMC_STAT3;0.05;;;
Th1naive_p38;0.047;;;
Tregnaive_STAT5;0.047;;;
CD8Tcm_STAT3;0.046;;;
CD56brightCD16nNKcells_CREB;0.046;;;
CD62LnAgedNeutrophils_IkB;0.046;;;
CD8Trm_Frequency;0.044;;;
CD4Trm_IkB;0.044;;;
CD62LnAgedNeutrophils_STAT3;0.043;;;
Th1mem_STAT6;0.043;;;
CD8Tcm_STAT5;0.039;;;
Th1naive_STAT3;0.037;;;
Th1mem_STAT3;0.033;;;
CD62LpImmatureNeutrophils_STAT3;0.03;;;
gdTcells_NFkB;0.029;;;
CD4Tnaive_STAT3;0.029;;;
CD41hiCD61hiPLT_MAPKAPK2;0.029;;;
gdTcells_STAT6;0.027;;;
Th1mem_STAT5;0.027;;;
Th1mem_NFkB;0.026;;;
pDC_Frequency;0.025;;;
CD4Tem_p38;0.023;;;
CD56dimCD16pNKcells_p38;0.023;;;
CD4Trm_p38;0.023;;;
NKT_CREB;0.023;;;
Tregmem_p38;0.023;;;
Bcells_MAPKAPK2;0.023;;;
CD8Tnaive_p38;0.023;;;
CD4Tnaive_p38;0.023;;;
CD56brightCD16nNKcells_IkB;0.022;;;
CD62LnAgedNeutrophils_STAT5;0.022;;;
Tregnaive_MAPKAPK2;0.021;;;
CD4Tcm_p38;0.019;;;
Tregmem_Frequency;0.019;;;
CD4Tem_NFkB;0.019;;;
CD8Tcm_Frequency;0.019;;;
Tregnaive_NFkB;0.019;;;
pDC_CREB;0.017;;;
Bcells_p38;0.016;;;
CD56dimCD16pNKcells_MAPKAPK2;0.016;;;
CD4Tem_STAT3;0.015;;;
CD8Tcm_p38;0.015;;;
NKT_NFkB;0.015;;;
pDC_p38;0.014;;;
Bcells_CREB;0.014;;;
CD4Tnaive_NFkB;0.013;;;
CD8Trm_p38;0.012;;;
CD4Trm_CREB;0.012;;;
CD4Trm_STAT3;0.011;;;
mDC_IkB;0.011;;;
NKT_p38;0.01;;;
pDC_STAT3;0.01;;;
Tregnaive_IkB;0.01;;;
Th1mem_p38;0.01;;;
CD4Tcm_IkB;0.01;;;
Th1mem_MAPKAPK2;0.009;;;
pDC_MAPKAPK2;0.008;;;
CD8Tem_p38;0.008;;;
CD56brightCD16nNKcells_p38;0.007;;;
CD8Tcm_CREB;0.007;;;
gdTcells_p38;0.007;;;
CD8Tnaive_NFkB;0.007;;;
Tregmem_NFkB;0.006;;;
CCR2nncMC_STAT3;0.006;;;
CD4Tcm_NFkB;0.006;;;
Tregnaive_STAT3;0.006;;;
CD8Tnaive_MAPKAPK2;0.005;;;
CD4Tem_IkB;0.005;;;
NKT_STAT3;0.004;;;
MDSC_IkB;0.004;;;
Tregnaive_Frequency;0.004;;;
CD8Trm_MAPKAPK2;0.004;;;
CD8Tem_NFkB;0.003;;;
CCR2nncMC_IkB;0.003;;;
CD8Trm_CREB;0.003;;;
