feature,coefficient
Siglec.6,6.373433846444193
BID,4.611439116700501
SLPI,4.076623990654419
IL.1.R4,4.064396450295313
PLXB2,2.792654769123985
PAI.1,1.9485792725479547
PARC,1.6402235156093554
Activin.A,1.5944723288769822
BGN,1.5609654442556666
CD5L,1.2858727880219538
SPINT2,1.2318618765515699
SHPS1,1.0809298356049146
GFRa.1,1.0152994276157878
MCP.3,0.8732989022060033
C1q,0.7413942803730231
NEUREGULIN.1,0.7378074435200116
QORL1,0.7337699075296306
Cathepsin.A,0.7318706291562067
PTN,0.7008091507170726
GNS,0.6535341164745931
PRL,0.5675784191811458
GITR,0.46197568323007127
IL.18.Ra,0.392645709626276
GPNMB,0.38215928833193014
IgE,0.3227898786542339
Rb,0.3067220647880026
ADAM.9,0.2857621435957342
LGMN,0.24603036050655536
HCE004359,0.18357749787537814
IL.12.RB2,0.1802477581970433
NKp30,0.14566391288070168
MP2K2,0.08516142906504222
GP1BA,0.032840029139613175
HRG,-0.006956638558912415
PDE11,-0.01316622545973842
SPTA2,-0.09703401333725203
IL.23.R,-0.12620982906012612
C5,-0.13438706346145743
Ephrin.A3,-0.2238981811413286
PIANP,-0.24375079405825145
CD40.ligand..soluble,-0.2450108725927933
SLIK5,-0.2564613551107943
Cathepsin.B,-0.34203078280955024
ALCAM,-0.4088586061404663
TNF.b,-0.45379752990735084
Semaphorin.3A,-0.4745472186296162
sTie.2,-0.49447402907732907
IGFBP.1,-0.5336999109082047
SP.D,-0.6035748359606419
Met,-0.6084144765106596
P.Selectin,-0.6411626804839591
Insulin,-0.677378839170979
TCCR,-0.7664125828234429
Protein.disulfide.isomerase.A3,-0.7985437233259216
sL.Selectin,-0.8217628592189617
LBP,-0.9578525815792825
Granulysin,-1.0023872035278827
RSPO2,-1.099517426048981
Cadherin.5,-1.1171207330771709
DLC8,-1.1177227680471253
MMP.12,-1.6535740319158208
ASAH2,-1.9186488822276644
ROR1,-1.9915236526531577
AFP,-2.058717982750853
HCG,-2.2274737817601222
VEGF121,-2.975664689161673
Angiopoietin.2,-5.342730542466031
