feature,coefficient
Siglec.6,6.109951051137153
IL.1.R4,3.877443646193076
SLPI,3.7091554219880227
BID,3.2764973389397465
PLXB2,2.8843401979925756
PAI.1,2.3533200198974353
MCP.3,1.8150267010988894
BGN,1.3697102622827113
GNS,1.2845468787938843
GITR,1.0655475231475457
C1q,1.015762569397899
GFRa.1,0.8268604595318997
SPINT2,0.736385885649642
ADAM.9,0.7326126815156732
IL.18.Ra,0.6829610273940419
FABP,0.6641616732753544
DSC2,0.6558979065320415
CD4Tef_p38_IFNa,0.6403005270595191
GPNMB,0.5785656856244985
MK11,0.5541127570340075
CD62LposCD4Tnaive_STAT1_IL246,0.5458052683784761
Activin.A,0.5417287246042967
PARC,0.5042302092518586
CD69negCD56loCD16negNK_STAT3_IL246,0.48003545589480046
PRL,0.4438746544353253
CD69posCD8Tmem_MAPKAPK2_IFNa,0.4190642790188395
Cathepsin.A,0.4114811901288693
CD5L,0.39202557177865804
MP2K2,0.3221383370403191
ERP29,0.31001513177432827
LGMN,0.2827016908648448
PTN,0.2509490525963997
SHPS1,0.21753375998097754
IgE,0.07764331078720911
FGF.10,0.04283622514866703
QORL1,0.03942985854038592
CD40.ligand..soluble,-0.04616525234029093
CD69posCD56loCD16negNK_IkB_IL246,-0.04722866997833965
CD56loCD16negNK_IkB_IFNa,-0.06325454302670434
RSPO2,-0.16075341631234372
Insulin,-0.17475642800711183
sTie.2,-0.18819172209549032
Protein.disulfide.isomerase.A3,-0.23845969624002616
Vitronectin,-0.2725188092216699
SPTA2,-0.3695672541987647
CD56hiCD16negNK_NFkB_LPS,-0.39094603924837457
DLC8,-0.3956256227921816
Granulysin,-0.40927823603239516
SP.D,-0.42498700878410767
Antithrombin.III,-0.45025778011061446
CD8Tcm_IkB_IL246,-0.49136931584450444
Met,-0.5037415372343055
IGFBP.1,-0.618323776783135
CD56hiCD16negNK_IkB_IL246,-0.7724411791016025
IL.23.R,-0.800901533261771
Ephrin.A3,-0.8655379548946244
ALCAM,-1.0049645566058851
TCCR,-1.052609979469832
Growth.hormone.receptor,-1.0612201280490436
CCR5posCCR2posCD8Tcm_S6_IL246,-1.0641268336329162
ROR1,-1.2972131617381208
CD69posCD4Tmem_MAPKAPK2_unstim,-1.3220830298062645
CD56hiCD16negNK_MAPKAPK2_unstim,-1.3764501938772862
Cadherin.5,-1.4845221564100821
MMP.12,-1.5272927618782697
sL.Selectin,-1.6346884566981068
LBP,-1.6704678444683683
HCG,-1.7946828723138177
ASAH2,-2.083713852446852
VEGF121,-2.2208568385498317
AFP,-2.313563412358821
Angiopoietin.2,-5.488008403766461
