feature,coefficient
IL.1.R4,6.243868617925913
Siglec.6,5.20888326528541
PLXB2,4.216698340621284
Activin.A,3.326438058109525
BID,1.8666334094854682
FABP,1.6935038017723227
CD5L,1.3437289968160968
GFRa.1,1.3191098313048668
GPNMB,1.1676301148769568
PERL,0.9299694236508472
Apo.E3,0.9135336055239446
BGN,0.9064964349893753
OLR1,0.667213608549113
uPA,0.6570902498807857
Osteopontin,0.49695214053864223
SLPI,0.47860953657337924
b2.Microglobulin,0.09595318638397983
ROBO2,-0.14512673375548596
GDF2,-0.19012864025229723
AFP,-0.4036561318308489
sTie.2,-0.43344505301165837
CSK21,-0.47026858516029313
BLC,-0.5208200750746217
MP2K4,-0.6949983659775666
Growth.hormone.receptor,-0.7334524867418337
SLIK5,-0.8484046394173511
SCF.sR,-0.848747332323896
ROR1,-0.9793723558426882
ASAH2,-1.1571331241672724
DLC8,-1.2046181899002106
ALCAM,-1.2395576418140961
VEGF121,-1.5792804902331081
HCG,-2.0676344786966636
MMP.12,-2.510689105342617
Angiopoietin.2,-5.651360005210499
