feature,coefficient
IL.1.R4,6.243868617925913
Siglec.6,5.20888326528541
PLXB2,4.216698340621284
Activin.A,3.326438058109525
BID,1.8666334094854682
FABP,1.6935038017723227
CD5L,1.3437289968160968
GFRa.1,1.3191098313048668
GPNMB,1.1676301148769568
PERL,0.9299694236508472
Apo.E3,0.9135336055239446
BGN,0.9064964349893753
OLR1,0.667213608549113
uPA,0.6570902498807857
Osteopontin,0.49695214053864223
SLPI,0.47860953657337924
b2.Microglobulin,0.09595318638397983
PDGF.AA,0.0
BSSP4,-0.0
NCAM.120,-0.0
Kininogen..HMW,0.0
IL.11,-0.0
IL.5.Ra,0.0
SCGF.alpha,0.0
IL.3.Ra,-0.0
FGF7,-0.0
C5b..6.Complex,-0.0
ATS15,0.0
CDON,0.0
BST1,-0.0
CBX5,0.0
Livin.B,0.0
KYNU,0.0
KIRR3,0.0
IL.34,0.0
HDGR2,-0.0
GP114,0.0
FUT5,0.0
Fucosyltransferase.3,-0.0
FLRT1,-0.0
EMR2,-0.0
DnaJ.homolog,-0.0
CTAP.III,0.0
CONA1,0.0
Clusterin,0.0
C3b,-0.0
C4,-0.0
TGM3,0.0
C1.Esterase.Inhibitor,-0.0
FGF.8A,-0.0
CHST2,-0.0
BCL2.like.1.protein,-0.0
ADAM12,0.0
SP.D,-0.0
MSP,0.0
IFN.lambda.2,0.0
IFN.lambda.1,-0.0
FGF.16,-0.0
Collectin.Kidney.1,-0.0
FGF.12,0.0
DHH,-0.0
MIC.1,0.0
DYRK3,-0.0
DAPK2,-0.0
sICAM.1,-0.0
CRP,-0.0
CHST6,-0.0
ENPP7,0.0
ZAP70,-0.0
PDPK1,0.0
Ubiquitin,0.0
Tropomyosin.2,-0.0
PLCG1,0.0
ST4S6,0.0
SPHK2,0.0
SPARCL1,-0.0
Sialoadhesin,-0.0
PCSK7,0.0
ENTP3,-0.0
MFGM,-0.0
LRRT3,-0.0
LRRT1,0.0
hnRNP.A.B,-0.0
GREM1,0.0
FCRL3,-0.0
ENTP5,-0.0
NXPH1,0.0
SORC2,0.0
PLXC1,-0.0
MCP.3,0.0
Integrin.aVb5,0.0
IgD,0.0
Hemoglobin,0.0
HCC.4,0.0
GOT1,-0.0
Glutathione.S.transferase.Pi,0.0
GIB,-0.0
Galectin.8,0.0
Endoglin,0.0
D.dimer,0.0
Coagulation.Factor.V,-0.0
Coactosin.like.protein,0.0
Caspase.2,0.0
Calcineurin,0.0
C3a,-0.0
Glucagon,-0.0
ACTH,0.0
Lysozyme,0.0
MIP.3b,0.0
MIS,-0.0
annexin.II,0.0
Carbonic.anhydrase.I,0.0
CAPG,0.0
C1QBP,0.0
ATP.synthase.beta.chain,0.0
ARTS1,0.0
ARP19,0.0
ARMEL,0.0
annexin.I,0.0
MMP.1,-0.0
AGR2,0.0
X40S.ribosomal.protein.SA,0.0
EPI,-0.0
TF,0.0
Stanniocalcin.1,0.0
SHBG,-0.0
MMP.13,0.0
WNT7A,-0.0
Insulin,-0.0
RSPO2,-0.0
Coagulation.Factor.X,-0.0
ASM3A,-0.0
Olfactomedin.4,-0.0
Afamin,-0.0
TFF3,-0.0
Protein.disulfide.isomerase.A3,-0.0
PPIB,0.0
IL.3,-0.0
Apo.D,-0.0
X17.beta.HSD.1,-0.0
X41,-0.0
TNF.b,-0.0
GM.CSF,0.0
X3HIDH,-0.0
IL.6,0.0
PH,0.0
CLC1B,-0.0
SH21A,0.0
FAM107B,-0.0
Gelsolin,-0.0
CBG,0.0
G.CSF,-0.0
Coagulation.Factor.IX,0.0
Angiogenin,0.0
TrkB,-0.0
BMP.RII,0.0
BMPR1A,0.0
IL.1a,0.0
Glypican.3,0.0
Epithelial.cell.kinase,-0.0
Cytidylate.kinase,-0.0
TRAIL.R1,-0.0
sL.Selectin,-0.0
STRATIFIN,-0.0
TXD12,0.0
ITI.heavy.chain.H4,-0.0
CO8A1,0.0
C34.gp41.HIV.Fragment,0.0
SAA,-0.0
PTP.1C,-0.0
BOC,0.0
PTK6,-0.0
SE6L2,-0.0
SBDS,0.0
RSK.like.protein.kinase,-0.0
RS7,0.0
PSA6,-0.0
PSA1,-0.0
PPAC,-0.0
Peroxiredoxin.1,-0.0
NACA,0.0
MDHC,-0.0
HSP.40,-0.0
GAPDH..liver,-0.0
ETHE1,-0.0
DLRB1,0.0
Cyclophilin.A,0.0
AIP,-0.0
UFM1,0.0
SGTA,-0.0
TCTP,0.0
TMA,-0.0
Mesothelin,0.0
UBE2N,-0.0
Sorting.nexin.4,0.0
SKP1,-0.0
PSD7,-0.0
PLPP,-0.0
Phosphoglycerate.mutase.1,-0.0
NAGK,0.0
MBD4,0.0
UB2L3,-0.0
LDH.H.1,-0.0
Lamin.B1,-0.0
ING1,0.0
IMB1,0.0
CDC37,-0.0
CaMKK.alpha,-0.0
ARI3A,0.0
TLR2,0.0
pTEN,-0.0
CYTT,-0.0
PDGF.CC,0.0
Cadherin.2,-0.0
ANGL4,0.0
ADAM.9,0.0
STX1a,0.0
COX.2,-0.0
Activated.Protein.C,0.0
CSF.1,-0.0
TNR4,0.0
Secretin,0.0
PYY,-0.0
BNP.32,-0.0
p27Kip1,-0.0
CK.MB,-0.0
Angiostatin,-0.0
ALT,0.0
a2.Macroglobulin,-0.0
Albumin,-0.0
Carbonic.anhydrase.9,-0.0
Carbonic.anhydrase.III,0.0
CK.BB,-0.0
IL.12.RB2,0.0
PAK6,-0.0
MK08,-0.0
MATK,-0.0
MAPKAPK3,-0.0
MAPK5,0.0
MAPK2,0.0
KPCT,0.0
FYN,0.0
Cystatin.S,0.0
FGR,-0.0
FGFR.3,-0.0
FGFR.2,-0.0
FGF23,0.0
EphA5,0.0
Endocan,-0.0
CYTD,0.0
discoidin.domain.receptor.1,0.0
FGF.4,0.0
HSP.70,0.0
sRAGE,0.0
NUDC3,0.0
NSF1C,0.0
NDP.kinase.B,0.0
NCAM.L1,-0.0
MDM2,-0.0
M2.PK,0.0
LIN7B,-0.0
LCMT1,-0.0
IGF.I.sR,0.0
IF4G2,0.0
HNRPQ,-0.0
FER,0.0
ERAB,-0.0
EP15R,-0.0
DRG.1,0.0
Cofilin.1,-0.0
AN32B,0.0
PA2G4,-0.0
paraoxonase.1,-0.0
PESC,0.0
Spondin.1,-0.0
AMNLS,0.0
CATZ,-0.0
XTP3A,0.0
Triosephosphate.isomerase,-0.0
Transketolase,-0.0
transcription.factor.MLR1..isoform.CRA_b,-0.0
Thymidine.kinase,-0.0
Sphingosine.kinase.1,0.0
PFD5,0.0
SNAA,-0.0
RBM39,0.0
RAN,-0.0
PSA2,0.0
Protein.disulfide.isomerase,-0.0
prostatic.binding.protein,-0.0
PHI,-0.0
AK1A1,0.0
Aflatoxin.B1.aldehyde.reductase,-0.0
X6.Phosphogluconate.dehydrogenase,-0.0
HB.EGF,-0.0
IP.10,0.0
IL.7,-0.0
IL.6.sRa,-0.0
IL.20,-0.0
IL.17E,-0.0
IL.17D,-0.0
IgE,0.0
Granzyme.B,0.0
MCP.4,-0.0
FST,-0.0
Fibronectin,0.0
FGF.6,-0.0
Factor.B,-0.0
Eotaxin.2,-0.0
C6,0.0
BPI,-0.0
Lymphotactin,0.0
Neurotrophin.3,-0.0
X4EBP2,-0.0
TGF.b2,0.0
X14.3.3,0.0
Thyroglobulin,0.0
Histone.H2A.z,0.0
Transferrin,-0.0
MMP.2,-0.0
Factor.H,0.0
Thrombin,-0.0
Tenascin,0.0
Neurotrophin.5,-0.0
P.Selectin,-0.0
alpha.1.antichymotrypsin.complex,0.0
Prekallikrein,-0.0
Plasminogen,-0.0
Plasmin,-0.0
PDGF.BB,0.0
PAPP.A,-0.0
carbonic.anhydrase.II,-0.0
DERM,0.0
cIAP.2,0.0
PKC.B.II,0.0
GITR,0.0
EGF,-0.0
Cathepsin.D,-0.0
RUXF,0.0
WNK3,0.0
Testican.2,0.0
Testican.1,0.0
Stress.induced.phosphoprotein.1,-0.0
SRCN1,0.0
SLAF7,0.0
sICAM.2,-0.0
RS3A,0.0
RGMA,-0.0
RBP,-0.0
RASA1,0.0
RANTES,0.0
PSMA,0.0
bFGF.R,0.0
TRAIL.R2,0.0
NRP1,-0.0
NG36,-0.0
ARGI1,0.0
