,Max Proba
IFNGR2,0.15
MLN,0.144
FCRLB,0.138
EBI3_IL27,0.136
PLA2G15,0.116
CHI3L1,0.113
NDRG1,0.112
KIR2DL3,0.111
SLAMF7,0.11
IL5RA,0.11
ADGRG2,0.108
FCRL5,0.103
ATF2,0.102
ADA2,0.099
CNPY2,0.097
MMP3,0.092
LY9,0.092
CA6,0.092
ITGA11,0.091
RABEPK,0.091
ITIH3,0.09
CDCP1,0.089
RNASET2,0.089
FOSB,0.081
FUCA1,0.08
C4BPB,0.08
C1QA,0.079
SIGLEC10,0.078
SH2D1A,0.074
CD70,0.071
TNFRSF8,0.07
XRCC4,0.067
TRIM21,0.064
DSG4,0.064
PVR,0.063
FCRL2,0.062
ICAM4,0.061
FOLR2,0.059
SIGLEC9,0.058
PDGFC,0.058
ALPP,0.058
S100A16,0.057
RRM2,0.056
MARCO,0.055
MZB1,0.054
CXCL8,0.053
IL13,0.052
ACY1,0.052
SSB,0.051
CES1,0.051
CDH2,0.05
CRTAC1,0.05
ST3GAL1,0.05
CLSPN,0.05
NOMO1,0.049
PLXNB2,0.046
TNXB,0.046
ADGRG1,0.043
CREG1,0.043
TNFRSF13B,0.043
CTSD,0.042
PTS,0.042
ITGAV,0.042
GGA1,0.04
VEGFA,0.04
DDX58,0.039
KLRD1,0.037
CHEK2,0.037
CPE,0.037
ICAM1,0.036
ADAM8,0.036
SELE,0.036
ENPP5,0.036
JUN,0.036
PBLD,0.035
CLEC6A,0.035
RASSF2,0.035
TIMP1,0.035
CTSL,0.034
DEFA1_DEFA1B,0.034
VWF,0.033
CDON,0.033
AFP,0.033
ADCYAP1R1,0.032
GZMA,0.031
PADI2,0.031
WAS,0.03
RANGAP1,0.03
C19orf12,0.03
IL18R1,0.03
FCRL6,0.029
IL1R2,0.029
TCL1A,0.029
EZR,0.029
LGALS1,0.029
PDGFRA,0.028
LIF,0.028
CCL20,0.028
HPGDS,0.028
RBKS,0.028
THOP1,0.027
LSP1,0.027
SCP2,0.027
SCARB1,0.027
FCAR,0.027
SSC4D,0.027
IL6,0.026
CD38,0.026
NFASC,0.026
NINJ1,0.026
PADI4,0.026
CEACAM3,0.026
SMPD1,0.025
CST5,0.025
CD276,0.025
CD177,0.025
PILRB,0.025
WFIKKN2,0.025
WISP1,0.025
CTRC,0.025
LRRC25,0.025
SCLY,0.025
PROC,0.024
IL2RA,0.024
BST2,0.024
CD5,0.024
SIGLEC7,0.023
OXT,0.023
TFPI2,0.023
TNFRSF11B,0.023
ARSA,0.023
CCL8,0.022
FURIN,0.022
CNTN5,0.022
COL9A1,0.021
PRCP,0.021
LHB,0.021
LIFR,0.021
ADA,0.021
IDUA,0.021
ROBO2,0.02
BCAN,0.02
KYNU,0.02
DPY30,0.02
HSP90B1,0.02
ICAM3,0.02
TIE1,0.02
HAVCR1,0.02
PQBP1,0.02
CLUL1,0.02
THBS2,0.019
CKAP4,0.019
ING1,0.019
GFOD2,0.018
METAP1,0.018
PXN,0.017
GGH,0.017
TNFSF12,0.017
IGSF3,0.017
CEACAM8,0.017
SLIT2,0.017
AMY2B,0.017
CDHR5,0.017
PON3,0.017
SFTPA2,0.017
HSD11B1,0.016
SMAD5,0.016
CCL15,0.016
SETMAR,0.016
GP2,0.016
MAGED1,0.016
MAD1L1,0.016
NAMPT,0.016
ITM2A,0.016
INHBC,0.016
CRHBP,0.016
AMY2A,0.015
PLAU,0.015
VNN2,0.015
TMSB10,0.015
DDAH1,0.015
WARS,0.015
GPKOW,0.015
HMOX1,0.015
IL12RB1,0.014
CLEC5A,0.014
ZBTB17,0.014
MSR1,0.014
MUC13,0.014
CASC4,0.014
VWA1,0.014
ANPEP,0.014
CAPG,0.014
RARRES2,0.013
CTSS,0.013
CD1C,0.013
CXCL12,0.013
CD164,0.013
GH2,0.013
KLK1,0.013
AREG,0.013
RUVBL1,0.013
LGALS9,0.013
CPVL,0.013
APBB1IP,0.013
CD28,0.012
IL6R,0.012
SIGLEC6,0.012
MFAP3,0.012
ENG,0.012
ANGPTL2,0.012
CCL7,0.012
CTSZ,0.012
