,alpha'=' 2.007,alpha'=' 2.189,alpha'=' 2.388,alpha'=' 2.605,alpha'=' 2.842,alpha'=' 3.101,alpha'=' 3.383,alpha'=' 3.691,alpha'=' 4.027,alpha'=' 4.393,alpha'=' 4.793,alpha'=' 5.229,alpha'=' 5.705,alpha'=' 6.223,alpha'=' 6.790,alpha'=' 7.407,alpha'=' 8.081,alpha'=' 8.816,alpha'=' 9.618,alpha'=' 10.494,alpha'=' 11.448,alpha'=' 12.490,alpha'=' 13.626,alpha'=' 14.866,alpha'=' 16.218,alpha'=' 17.693,alpha'=' 19.303,alpha'=' 21.059,alpha'=' 22.975,alpha'=' 25.065
artificial.1,0.017,0.014,0.012,0.01,0.01,0.009,0.008,0.008,0.008,0.007,0.006,0.004,0.003,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.2,0.03,0.026,0.025,0.024,0.024,0.023,0.012,0.009,0.006,0.004,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.3,0.008,0.004,0.004,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.4,0.034,0.027,0.025,0.021,0.017,0.016,0.013,0.01,0.009,0.009,0.008,0.005,0.004,0.002,0.002,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.5,0.162,0.15,0.139,0.126,0.117,0.104,0.09,0.074,0.058,0.046,0.034,0.027,0.017,0.01,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.6,0.033,0.027,0.021,0.014,0.012,0.012,0.008,0.004,0.004,0.003,0.002,0.002,0.002,0.002,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.7,0.031,0.03,0.024,0.02,0.015,0.014,0.011,0.009,0.004,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.8,0.172,0.159,0.139,0.118,0.102,0.093,0.078,0.063,0.054,0.041,0.031,0.025,0.014,0.01,0.003,0.002,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.9,0.199,0.182,0.168,0.153,0.135,0.123,0.11,0.093,0.079,0.065,0.056,0.039,0.029,0.019,0.014,0.007,0.003,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.10,0.034,0.027,0.023,0.021,0.019,0.017,0.012,0.011,0.009,0.006,0.005,0.003,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.11,0.032,0.031,0.028,0.028,0.027,0.022,0.016,0.016,0.013,0.012,0.007,0.005,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.12,0.1,0.09,0.082,0.069,0.056,0.048,0.037,0.024,0.015,0.009,0.008,0.006,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.13,0.062,0.057,0.048,0.037,0.032,0.025,0.022,0.014,0.01,0.005,0.003,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.14,0.052,0.048,0.041,0.037,0.035,0.032,0.03,0.024,0.025,0.021,0.017,0.013,0.01,0.004,0.003,0.003,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.15,0.224,0.207,0.201,0.196,0.182,0.167,0.149,0.131,0.115,0.1,0.076,0.058,0.041,0.028,0.014,0.006,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.16,0.083,0.078,0.073,0.06,0.053,0.046,0.037,0.031,0.021,0.014,0.008,0.004,0.003,0.002,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.17,0.03,0.028,0.026,0.025,0.024,0.023,0.014,0.01,0.004,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.18,0.506,0.5,0.49,0.479,0.471,0.465,0.454,0.446,0.427,0.411,0.389,0.352,0.314,0.251,0.182,0.12,0.058,0.02,0.003,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.19,0.002,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
