,Feature Name
Feature n°1,Bcells_Frequency
Feature n°2,CCR2nncMC_S6
Feature n°3,CCR2nncMC_NFkB
Feature n°4,CCR2nncMC_MAPKAPK2
Feature n°5,CCR2nncMC_Frequency
Feature n°6,CCR2pcMC_S6
Feature n°7,CCR2pcMC_Frequency
Feature n°8,CD4Tcm_Frequency
Feature n°9,CD4Tnaive_Frequency
Feature n°10,CD4Trm_STAT5
Feature n°11,CD4Trm_S6
Feature n°12,CD4Trm_STAT6
Feature n°13,CD56brightCD16nNKcells_Frequency
Feature n°14,CD61pCD41pPLT_STAT3
Feature n°15,CD62LnAgedNeutrophils_S6
Feature n°16,CD62LnAgedNeutrophils_IkB
Feature n°17,CD62LnAgedNeutrophils_Frequency
Feature n°18,CD62LpImmatureNeutrophils_S6
Feature n°19,CD62LpImmatureNeutrophils_Frequency
Feature n°20,intMC_S6
Feature n°21,intMC_Frequency
Feature n°22,mDC_S6
Feature n°23,MDSC_S6
Feature n°24,pDC_STAT5
Feature n°25,pDC_MAPKAPK2
Feature n°26,Th1mem_STAT6
Feature n°27,Th1naive_NFkB
Feature n°28,Tregmem_STAT5
Feature n°29,Tregnaive_STAT5
Feature n°30,Tregnaive_STAT6
